Type,Name,Price,Availability,Timings
Breakfast,Bacon & Egg Roll,8.5,Monday - Friday,8:00am - 3:00pm
Breakfast,Hash Brown & Egg Roll,9.0,Monday - Friday,8:00am - 3:00pm
Breakfast,Breakfast Burger,11.0,Monday - Friday,8:00am - 3:00pm
Breakfast,Ham & Cheese Croissant,8.0,Monday - Friday,8:00am - 3:00pm
Breakfast,Cheese & Tomato Croissant,7.5,Monday - Friday,8:00am - 3:00pm
Snack Boxes,Chips,7.0,Monday - Friday,8:00am - 3:00pm
Snack Boxes,Chips & Fetta,8.5,Monday - Friday,8:00am - 3:00pm
Snack Boxes,Chips & Falafel,10.5,Monday - Friday,8:00am - 3:00pm
Snack Boxes,Chips & Chicken,12.0,Monday - Friday,8:00am - 3:00pm
Snack Boxes,Chips & Lamb,12.0,Monday - Friday,8:00am - 3:00pm
Lunch,Chips & Fetta Wrap,9.0,Monday - Friday,8:00am - 3:00pm
Lunch,Falafel Wrap,11.5,Monday - Friday,8:00am - 3:00pm
Lunch,Moroccan Spiced Lamb Wrap,12.0,Monday - Friday,8:00am - 3:00pm
Lunch,Lemon & Herb Marinated Chicken Wrap,11.5,Monday - Friday,8:00am - 3:00pm
Lunch,Pulled Pork Wrap w/ lettuce liquid cheese aioli jalapeno & coriander,11.5,Monday - Friday,8:00am - 3:00pm